nome;valor;variacao;;;;
 ALZR11;0;0;;;;
 ABEV3;0;0;;;;
 ARZZ3;0;0;;;;
 AZUL4;0;0;;;;
 BTOW3;0;0;;;;
 B3SA3;0;0;;;;
 BBDC3;0;0;;;;
 BBDC4;0;0;;;;
 BBAS3;0;0;;;;
 BRSR6;0;0;;;;
 BIDI4;0;0;;;;
 BIDI3;0;0;;;;
 SANB3;0;0;;;;
 SANB11;0;0;;;;
 BBPO11;0;0;;;;
 BBSE3;0;0;;;;
 BRML3;0;0;;;;
 BRAP4;0;0;;;;
 BRAP3;0;0;;;;
 BRKM5;0;0;;;;
 BRKM3;0;0;;;;
 BRFS3;0;0;;;;
 CAML3;0;0;;;;
 CCRO3;0;0;;;;
 ELET3;0;0;;;;
 ELET6;0;0;;;;
 HGTX3;0;0;;;;
 CIEL3;0;0;;;;
 COGN3;0;0;;;;
 PCAR4;0;0;;;;
 SBSP3;0;0;;;;
 CMIG3;0;0;;;;
 CMIG4;0;0;;;;
 CPLE6;0;0;;;;
 CPLE3;0;0;;;;
 CSNA3;0;0;;;;
 CSAN3;0;0;;;;
 CPFE3;0;0;;;;
 HGLG11;0;0;;;;
 CVCB3;0;0;;;;
 CYRE3;0;0;;;;
 ECOR3;0;0;;;;
 ENBR3;0;0;;;;
 EMBR3;0;0;;;;
 EGIE3;0;0;;;;
 EQTL3;0;0;;;;
 YDUQ3;0;0;;;;
 HTMX11;0;0;;;;
 FLRY3;0;0;;;;
 BPFF11;0;0;;;;
 RBRP11;0;0;;;;
 GGBR3;0;0;;;;
 GGBR4;0;0;;;;
 GOLL4;0;0;;;;
 HGBS11;0;0;;;;
 HBOR3;0;0;;;;
 HYPE3;0;0;;;;
 IGTA3;0;0;;;;
 MEAL3;0;0;;;;
 MYPK3;0;0;;;;
 IRBR3;0;0;;;;
 BOVA11;0;0;;;;
 IVVB11;0;0;;;;
 ITUB4;0;0;;;;
 ITSA4;0;0;;;;
 ITSA3;0;0;;;;
 JBSS3;0;0;;;;
 JHSF3;0;0;;;;
 KLBN11;0;0;;;;
 RENT3;0;0;;;;
 LAME4;0;0;;;;
 LREN3;0;0;;;;
 MGLU3;0;0;;;;
 MRFG3;0;0;;;;
 MXRF11;0;0;;;;
 MFII11;0;0;;;;
 GOAU4;0;0;;;;
 MILS3;0;0;;;;
 MOVI3;0;0;;;;
 MRVE3;0;0;;;;
 MULT3;0;0;;;;
 NTCO3;0;0;;;;
 NATU3;0;0;;;;
 OIBR3;0;0;;;;
 BRDT3;0;0;;;;
 PETR4;0;0;;;;
 PETR3;0;0;;;;
 QUAL3;0;0;;;;
 RADL3;0;0;;;;
 RAIL3;0;0;;;;
 SQIA3;0;0;;;;
 SMLS3;0;0;;;;
 SUZB3;0;0;;;;
 TASA4;0;0;;;;
 TCSA3;0;0;;;;
 VIVT4;0;0;;;;
 TIMP3;0;0;;;;
 TOTS3;0;0;;;;
 TAEE11;0;0;;;;
 UGPA3;0;0;;;;
 USIM5;0;0;;;;
 VALE3;0;0;;;;
 VLID3;0;0;;;;
 VVAR3;0;0;;;;
 VILG11;0;0;;;;
 VIVA3;0;0;;;;
 WEGE3;0;0;;;;
 WIZS3;0;0;;;;
